date,spot_px,fut_px,spot_pos,fut_pos,spot_pnl,fut_pnl,net_pnl,nav
2021-03-04T00:00:00+00:00,48374.09,48860.53,34.092819,10000,-67342.86,47059.9,-20282.96,1215995.26
2021-03-05T00:00:00+00:00,48751.71,49251.76,34.092819,10000,12874.13,-8024.95,4849.18,1220844.45
2021-03-06T00:00:00+00:00,48882.2,49392.21,34.092819,10000,4448.77,-2873.23,1575.54,1222419.98
2021-03-07T00:00:00+00:00,50971.75,51685.31,34.092819,10000,71238.65,-44987.66,26250.99,1248670.97
2021-03-08T00:00:00+00:00,52375.17,53136.88,34.092819,10000,47846.54,-27714.85,20131.69,1268802.66
2021-03-09T00:00:00+00:00,54884.5,55604.8,34.092819,10000,85550.13,-44965.7,40584.43,1309387.1
2021-03-10T00:00:00+00:00,55851.59,56669.54,34.092819,10000,32970.82,-19063.74,13907.09,1323294.18
2021-03-11T00:00:00+00:00,57773.16,58723.66,34.092819,10000,65511.74,-35554.92,29956.82,1353251.0
2021-03-12T00:00:00+00:00,57221.72,57978.69,34.092819,10000,-18800.14,13019.01,-5781.14,1347469.87
2021-03-13T00:00:00+00:00,61188.39,62375.56,34.092819,10000,135234.96,-71857.91,63377.05,1410846.92
2021-03-14T00:00:00+00:00,58968.31,59959.02,34.092819,10000,-75688.79,40980.32,-34708.47,1376138.45
2021-03-15T00:00:00+00:00,55605.2,55983.75,34.092819,10000,-114657.9,71490.98,-43166.92,1332971.52
2021-03-16T00:00:00+00:00,56900.75,57245.32,34.092819,10000,44168.95,-22171.41,21997.54,1354969.06
2021-03-17T00:00:00+00:00,58912.97,59281.19,34.092819,10000,68602.25,-34557.25,34045.01,1389014.07
2021-03-18T00:00:00+00:00,57648.16,57950.77,34.092819,10000,-43120.94,23078.27,-20042.66,1368971.4
2021-03-19T00:00:00+00:00,58030.01,58343.67,34.092819,10000,13018.34,-6770.63,6247.71,1375219.11
2021-03-20T00:00:00+00:00,58102.28,58347.48,34.092819,10000,2463.89,-65.57,2398.31,1377617.42
2021-03-21T00:00:00+00:00,57351.56,57565.99,34.092819,10000,-25594.16,13626.31,-11967.85,1365649.57
2021-03-22T00:00:00+00:00,54083.25,54142.91,34.092819,10000,-111425.9,63292.79,-48133.11,1317516.46
2021-03-23T00:00:00+00:00,54340.89,54469.16,34.092819,10000,8783.67,-6003.77,2779.91,1320296.37
2021-03-24T00:00:00+00:00,52303.65,52323.26,34.092819,10000,-69455.25,41027.73,-28427.53,1291868.85
2021-03-25T00:00:00+00:00,51293.78,51351.25,34.092819,10000,-34429.32,18949.86,-15479.45,1276389.39
