open_time_ms,open_time,close_time_ms,close_time,mark_open,mark_high,mark_low,mark_close,mark_hl2
1620604800000,2021-05-10T00:00:00+00:00,1620691199999,2021-05-10T23:59:59.999000+00:00,63641.56670051,65402.64107727,58464.17268283,60596.35936667,61933.406880049995
1620691200000,2021-05-11T00:00:00+00:00,1620777599999,2021-05-11T23:59:59.999000+00:00,60588.29391212,61933.12187475,59104.99594798,61709.59152778,60519.058911365006
1620777600000,2021-05-12T00:00:00+00:00,1620863999999,2021-05-12T23:59:59.999000+00:00,61708.26243687,63287.53381162,52408.51103434,53127.49004747,57848.02242298
1620864000000,2021-05-13T00:00:00+00:00,1620950399999,2021-05-13T23:59:59.999000+00:00,53127.49004747,54990.28396313,49509.27652172,53417.32297626,52249.780242425
1620950400000,2021-05-14T00:00:00+00:00,1621036799999,2021-05-14T23:59:59.999000+00:00,53408.85752172,55098.43303485,52216.52710859,53289.11008081,53657.48007172
1621036800000,2021-05-15T00:00:00+00:00,1621123199999,2021-05-15T23:59:59.999000+00:00,53289.11008081,54246.20935808,49273.45707323,49399.98882929,51759.833215655
1621123200000,2021-05-16T00:00:00+00:00,1621209599999,2021-05-16T23:59:59.999000+00:00,49410.63734646,52904.14508687,46274.43755101,49204.0654697,49589.29131894
1621209600000,2021-05-17T00:00:00+00:00,1621295999999,2021-05-17T23:59:59.999000+00:00,49204.0654697,49390.14082525,44000.71299697,46083.27253182,46695.42691111
1621296000000,2021-05-18T00:00:00+00:00,1621382399999,2021-05-18T23:59:59.999000+00:00,46101.67798636,48615.41723333,44661.07170455,45259.71173131,46638.24446894
1621382400000,2021-05-19T00:00:00+00:00,1621468799999,2021-05-19T23:59:59.999000+00:00,45244.78627677,45989.16565051,27739.16174262,38076.81223889,36864.163696565
1621468800000,2021-05-20T00:00:00+00:00,1621555199999,2021-05-20T23:59:59.999000+00:00,38061.97587525,44206.23372525,36192.15257879,41961.21699899,40199.19315202
1621555200000,2021-05-21T00:00:00+00:00,1621641599999,2021-05-21T23:59:59.999000+00:00,41975.45699899,43735.48471111,34122.79876717,38331.0372803,38929.14173914
1621641600000,2021-05-22T00:00:00+00:00,1621727999999,2021-05-22T23:59:59.999000+00:00,38328.03182576,39972.19904697,36039.80358384,38392.01567121,38006.001315405
1621728000000,2021-05-23T00:00:00+00:00,1621814399999,2021-05-23T23:59:59.999000+00:00,38397.00112576,39299.99640859,31622.97789949,35423.04443081,35461.48715404
1621814400000,2021-05-24T00:00:00+00:00,1621900799999,2021-05-24T23:59:59.999000+00:00,35432.81715808,40942.36943889,35188.43615657,39809.59461768,38065.40279773
