funding_time_ms,funding_time,funding_rate
1613145600000,2021-02-12T16:00:00+00:00,0.00042574
1613174400001,2021-02-13T00:00:00.001000+00:00,0.00093029
1613203200008,2021-02-13T08:00:00.008000+00:00,0.00105556
1613232000000,2021-02-13T16:00:00+00:00,0.00036619
1613260800000,2021-02-14T00:00:00+00:00,0.00048111
1613289600000,2021-02-14T08:00:00+00:00,0.00153841
1613318400007,2021-02-14T16:00:00.007000+00:00,0.00100028
1613347200002,2021-02-15T00:00:00.002000+00:00,0.00093052
1613376000004,2021-02-15T08:00:00.004000+00:00,0.0001
1613404800007,2021-02-15T16:00:00.007000+00:00,0.00060949
1613433600000,2021-02-16T00:00:00+00:00,0.00105022
1613462400011,2021-02-16T08:00:00.011000+00:00,0.00146973
1613491200011,2021-02-16T16:00:00.011000+00:00,0.00104722
1613520000000,2021-02-17T00:00:00+00:00,0.00077398
1613548800007,2021-02-17T08:00:00.007000+00:00,0.00119115
1613577600010,2021-02-17T16:00:00.010000+00:00,0.00164468
1613606400000,2021-02-18T00:00:00+00:00,0.00118517
1613635200000,2021-02-18T08:00:00+00:00,0.00142575
1613664000010,2021-02-18T16:00:00.010000+00:00,0.00116719
1613692800013,2021-02-19T00:00:00.013000+00:00,0.00081654
1613721600000,2021-02-19T08:00:00+00:00,0.0011583
1613750400001,2021-02-19T16:00:00.001000+00:00,0.00137892
1613779200000,2021-02-20T00:00:00+00:00,0.00100681
1613808000001,2021-02-20T08:00:00.001000+00:00,0.00075149
1613836800000,2021-02-20T16:00:00+00:00,0.00089857
1613865600011,2021-02-21T00:00:00.011000+00:00,0.00068521
1613894400006,2021-02-21T08:00:00.006000+00:00,0.0008746
1613923200000,2021-02-21T16:00:00+00:00,0.00139162
1613952000007,2021-02-22T00:00:00.007000+00:00,0.00102446
1613980800005,2021-02-22T08:00:00.005000+00:00,0.00066524
1614009600001,2021-02-22T16:00:00.001000+00:00,0.00080088
1614038400008,2021-02-23T00:00:00.008000+00:00,0.0001
1614067200005,2021-02-23T08:00:00.005000+00:00,0.00048713
1614096000000,2021-02-23T16:00:00+00:00,0.00039646
1614124800000,2021-02-24T00:00:00+00:00,0.00017958
1614153600002,2021-02-24T08:00:00.002000+00:00,0.00010142
1614182400013,2021-02-24T16:00:00.013000+00:00,0.0001
1614211200000,2021-02-25T00:00:00+00:00,0.0001
1614240000000,2021-02-25T08:00:00+00:00,0.0001
1614268800008,2021-02-25T16:00:00.008000+00:00,0.0003343
1614297600004,2021-02-26T00:00:00.004000+00:00,0.0001
1614326400004,2021-02-26T08:00:00.004000+00:00,0.0001
1614355200000,2021-02-26T16:00:00+00:00,0.0001
1614384000001,2021-02-27T00:00:00.001000+00:00,0.00035514
1614412800000,2021-02-27T08:00:00+00:00,0.00036436
1614441600005,2021-02-27T16:00:00.005000+00:00,0.0001
1614470400019,2021-02-28T00:00:00.019000+00:00,0.0001
1614499200008,2021-02-28T08:00:00.008000+00:00,0.0001
1614528000000,2021-02-28T16:00:00+00:00,0.00015013
1614556800001,2021-03-01T00:00:00.001000+00:00,0.0001
1614585600001,2021-03-01T08:00:00.001000+00:00,0.0001
1614614400001,2021-03-01T16:00:00.001000+00:00,0.0001
1614643200000,2021-03-02T00:00:00+00:00,0.0001
1614672000003,2021-03-02T08:00:00.003000+00:00,0.0001
1614700800004,2021-03-02T16:00:00.004000+00:00,0.0001
1614729600000,2021-03-03T00:00:00+00:00,0.0001
1614758400013,2021-03-03T08:00:00.013000+00:00,0.00012952
1614787200000,2021-03-03T16:00:00+00:00,0.00062627
1614816000001,2021-03-04T00:00:00.001000+00:00,0.0001
1614844800015,2021-03-04T08:00:00.015000+00:00,0.0001
1614873600000,2021-03-04T16:00:00+00:00,0.0001
1614902400001,2021-03-05T00:00:00.001000+00:00,0.0001
1614931200002,2021-03-05T08:00:00.002000+00:00,0.0001
1614960000000,2021-03-05T16:00:00+00:00,0.0001
1614988800001,2021-03-06T00:00:00.001000+00:00,0.0001
1615017600000,2021-03-06T08:00:00+00:00,0.0001
1615046400000,2021-03-06T16:00:00+00:00,0.0001
1615075200006,2021-03-07T00:00:00.006000+00:00,0.0001
1615104000005,2021-03-07T08:00:00.005000+00:00,0.00026648
1615132800000,2021-03-07T16:00:00+00:00,0.0005911
1615161600000,2021-03-08T00:00:00+00:00,0.0004689
1615190400000,2021-03-08T08:00:00+00:00,0.0001
1615219200001,2021-03-08T16:00:00.001000+00:00,0.0003736
1615248000003,2021-03-09T00:00:00.003000+00:00,0.0008363
1615276800000,2021-03-09T08:00:00+00:00,0.00038463
1615305600004,2021-03-09T16:00:00.004000+00:00,0.00075224
